IF,D,0.01,0.03,1250
VVS1,D,0.01,0.03,1250
VVS2,D,0.01,0.03,1250
VS1,D,0.01,0.03,1000
VS2,D,0.01,0.03,1000
SI1,D,0.01,0.03,730
SI2,D,0.01,0.03,600
SI3,D,0.01,0.03,500
I1,D,0.01,0.03,460
I2,D,0.01,0.03,400
I3,D,0.01,0.03,330
IF,E,0.01,0.03,1250
VVS1,E,0.01,0.03,1250
VVS2,E,0.01,0.03,1250
VS1,E,0.01,0.03,1000
VS2,E,0.01,0.03,1000
SI1,E,0.01,0.03,730
SI2,E,0.01,0.03,600
SI3,E,0.01,0.03,500
I1,E,0.01,0.03,460
I2,E,0.01,0.03,400
I3,E,0.01,0.03,330
IF,F,0.01,0.03,1250
VVS1,F,0.01,0.03,1250
VVS2,F,0.01,0.03,1250
VS1,F,0.01,0.03,1000
VS2,F,0.01,0.03,1000
SI1,F,0.01,0.03,730
SI2,F,0.01,0.03,600
SI3,F,0.01,0.03,500
I1,F,0.01,0.03,460
I2,F,0.01,0.03,400
I3,F,0.01,0.03,330
IF,G,0.01,0.03,1000
VVS1,G,0.01,0.03,1000
VVS2,G,0.01,0.03,1000
VS1,G,0.01,0.03,850
VS2,G,0.01,0.03,850
SI1,G,0.01,0.03,650
SI2,G,0.01,0.03,550
SI3,G,0.01,0.03,460
I1,G,0.01,0.03,430
I2,G,0.01,0.03,380
I3,G,0.01,0.03,300
IF,H,0.01,0.03,1000
VVS1,H,0.01,0.03,1000
VVS2,H,0.01,0.03,1000
VS1,H,0.01,0.03,850
VS2,H,0.01,0.03,850
SI1,H,0.01,0.03,650
SI2,H,0.01,0.03,550
SI3,H,0.01,0.03,460
I1,H,0.01,0.03,430
I2,H,0.01,0.03,380
I3,H,0.01,0.03,300
IF,I,0.01,0.03,750
VVS1,I,0.01,0.03,750
VVS2,I,0.01,0.03,750
VS1,I,0.01,0.03,680
VS2,I,0.01,0.03,680
SI1,I,0.01,0.03,580
SI2,I,0.01,0.03,500
SI3,I,0.01,0.03,440
I1,I,0.01,0.03,420
I2,I,0.01,0.03,350
I3,I,0.01,0.03,270
IF,J,0.01,0.03,750
VVS1,J,0.01,0.03,750
VVS2,J,0.01,0.03,750
VS1,J,0.01,0.03,680
VS2,J,0.01,0.03,680
SI1,J,0.01,0.03,580
SI2,J,0.01,0.03,500
SI3,J,0.01,0.03,440
I1,J,0.01,0.03,420
I2,J,0.01,0.03,350
I3,J,0.01,0.03,270
IF,K,0.01,0.03,490
VVS1,K,0.01,0.03,490
VVS2,K,0.01,0.03,490
VS1,K,0.01,0.03,420
VS2,K,0.01,0.03,420
SI1,K,0.01,0.03,390
SI2,K,0.01,0.03,350
SI3,K,0.01,0.03,310
I1,K,0.01,0.03,260
I2,K,0.01,0.03,220
I3,K,0.01,0.03,160
IF,L,0.01,0.03,490
VVS1,L,0.01,0.03,490
VVS2,L,0.01,0.03,490
VS1,L,0.01,0.03,420
VS2,L,0.01,0.03,420
SI1,L,0.01,0.03,390
SI2,L,0.01,0.03,350
SI3,L,0.01,0.03,310
I1,L,0.01,0.03,260
I2,L,0.01,0.03,220
I3,L,0.01,0.03,160
IF,M,0.01,0.03,360
