RapNet Seller #,Shape,Weight,Color,Clarity,Cut Grade,Polish,Symmetry,Fluorescence,Measurements,Lab,Cert #,RapNet Total Price,Depth %,Table %,RapNet Lot #
73249,Round,0.500,E,IF,Excellent,Excellent,Excellent,None ,5.12-5.17x3.12,GIA,1136791214,2664.5000,60.6,57.00,35056706
73249,Round,0.500,G,VVS1,Excellent,Excellent,Very Good,None ,5.08-5.12x3.15,GIA,2126838349,1961.0000,61.8,57.00,37666368
73249,Round,0.500,E,VVS1,Ideal,Excellent,Excellent,None ,5.13-5.15x3.10,IGI,S3C61191,2110.5000,60.3,59.50,36978715
73249,Round,0.500,F,VVS2,Ideal,Excellent,Excellent,None ,5.10-5.12x3.12,IGI,S3C56812,1855.0000,61.1,57.00,37562541
73249,Round,0.500,F,VVS1,Ideal,Excellent,Excellent,None ,5.05-5.08x3.15,IGI,S3C83302,2059.0000,62.2,57.50,37666365
71306,Round,0.500,E,VS2,Fair,Excellent,Very Good,None ,5.26-5.29x2.94,GIA,2126677329,1187.7800,55.7,60.00,34622215
71306,Round,0.500,D,SI1,Fair,Very Good,Good,Strong Blue,4.83-4.85x3.25,GIA,1139114219,1079.8000,67.1,54.00,37351894
71306,Round,0.500,E,VVS2,Good,Very Good,Excellent,Medium Blue,4.87-4.89x3.21,GIA,2136191885,1592.7050,65.6,56.00,37622800
71306,Round,0.500,E,SI1,Fair,Very Good,Good,Medium Blue,4.77-4.79x3.29,GIA,2141259890,1007.8200,68.9,53.00,35713341
71306,Round,0.500,D,VS1,Good,Very Good,Very Good,Strong Blue,4.84-4.87x3.22,GIA,2126988800,1511.7300,66.4,56.00,36511895
71306,Round,0.500,F,VS2,Fair,Very Good,Very Good,Faint ,4.77-4.79x3.27,GIA,5136000901,1147.7950,68.4,55.00,36679168
71306,Round,0.500,I,SI2,Excellent,Excellent,Excellent,None ,5.04-5.06x3.18,GIA,1139188350,839.8950,62.9,55.00,37622811
71306,Round,0.500,E,SI2,Excellent,Excellent,Excellent,None ,5.04-5.06x3.17,GIA,1139283763,1159.8550,62.8,56.00,37773673
71306,Round,0.500,G,SI2,Excellent,Excellent,Excellent,None ,5.05-5.07x3.18,GIA,1139191863,988.8850,62.8,56.00,37622809
71306,Round,0.500,G,SI2,Excellent,Excellent,Excellent,None ,5.04-5.06x3.18,GIA,2136192088,1000.3850,62.9,55.00,37622808
71306,Round,0.500,H,VS2,Very Good,Excellent,Very Good,Faint ,4.93-4.97x3.19,GIA,5136173987,1231.8400,64.5,57.00,37607736
71306,Round,0.500,E,SI1,Excellent,Excellent,Excellent,Faint ,5.04-5.06x3.18,GIA,2136282837,1385.8200,62.9,56.00,37757843
71306,Round,0.500,G,SI1,Excellent,Excellent,Very Good,Faint ,5.17-5.19x3.08,GIA,2126067556,1130.8550,59.5,60.00,33337236
71306,Round,0.500,G,SI2,Very Good,Very Good,Excellent,Faint ,4.98-5.00x3.21,GIA,2136284785,896.8850,64.3,54.00,37773677
71306,Round,0.500,I,I1,Excellent,Very Good,Very Good,None ,5.08-5.12x3.09,GIA,2116888190,710.9100,60.7,60.00,31193514
71306,Round,0.500,G,SI2,Very Good,Excellent,Excellent,None ,5.02-5.04x3.17,GIA,1139272663,908.3850,63.0,56.00,37757851
71306,Round,0.500,L,VVS2,Excellent,Very Good,Very Good,None ,5.11-5.14x3.09,GIA,1129628448,824.8900,60.3,60.00,34622265
71306,Round,0.500,D,VS2,Excellent,Excellent,Excellent,Medium Blue,5.07-5.10x3.19,GIA,6147026946,1861.7550,62.7,55.00,35053159
71306,Round,0.500,E,SI2,Excellent,Excellent,Excellent,Medium Blue,5.07-5.09x3.19,GIA,2136199505,1101.8550,62.9,56.00,37622801
71306,Round,0.500,L,VS1,Excellent,Excellent,Excellent,Faint ,5.06-5.11x3.16,GIA,1136596668,808.3950,62.2,58.00,33337253
71306,Round,0.500,L,VS1,Excellent,Excellent,Excellent,Faint ,5.07-5.10x3.19,GIA,2131572716,808.3950,62.7,55.00,33337254
71306,Round,0.500,H,VS2,Very Good,Very Good,Good,None ,5.02-5.07x3.13,GIA,2126627275,1231.8400,62.1,61.00,34622232
71306,Round,0.500,D,SI1,Excellent,Excellent,Excellent,Medium Blue,5.07-5.09x3.16,GIA,2136171288,1479.8000,62.2,55.00,37607728
71306,Round,0.500,J,SI2,Very Good,Very Good,Excellent,Faint ,5.00-5.02x3.19,GIA,1139171458,739.9000,63.7,57.00,37607739
71306,Round,0.500,F,SI2,Very Good,Excellent,Very Good,None ,5.14-5.15x3.08,GIA,2136283737,998.8650,59.8,59.00,37757849
71306,Round,0.500,J,SI1,Very Good,Excellent,Excellent,None ,5.02-5.06x3.18,GIA,2136271879,776.8950,63.0,55.00,37757853
71306,Round,0.500,L,VVS2,Excellent,Excellent,Very Good,Faint ,5.07-5.10x3.19,GIA,1136450275,824.8900,62.8,57.00,33337252
71306,Round,0.500,M,VVS1,Excellent,Very Good,Excellent,Faint ,5.06-5.09x3.33,GIA,2126511535,787.3950,61.7,58.00,33923744
71306,Round,0.500,L,VVS1,Excellent,Excellent,Excellent,Medium Blue,5.08-5.10x3.25,GIA,2126543852,863.8800,61.6,58.00,33923742
71306,Round,0.500,M,VVS2,Very Good,Very Good,Excellent,None ,5.02-5.05x3.12,GIA,2126527087,719.9000,62.0,59.00,34622267
71306,Round,0.500,M,VVS2,Very Good,Very Good,Good,None ,5.03-5.08x3.13,GIA,1136760117,719.9000,61.9,62.00,34622268
71306,Round,0.500,L,VVS1,Very Good,Excellent,Very Good,None ,4.99-5.00x3.17,GIA,2131953571,875.8800,63.4,57.00,34089450
71306,Round,0.500,I,SI1,Very Good,Very Good,Very Good,Medium Blue,4.96-4.98x3.21,GIA,2131957037,839.3850,64.5,55.00,35413358
71306,Round,0.500,I,SI1,Very Good,Good,Very Good,Medium Blue,5.02-5.05x3.20,GIA,1129189470,839.3850,63.6,54.00,35413360
71306,Round,0.500,D,SI1,Very Good,Very Good,Excellent,Faint ,5.08-5.11x3.11,GIA,2141314600,1419.8000,60.9,61.00,36294094
71306,Round,0.500,I,VS1,Very Good,Very Good,Good,Faint ,5.01-5.03x3.17,GIA,1139018041,1135.8400,63.0,54.00,36679173
71306,Round,0.500,E,IF,Excellent,Excellent,Excellent,None ,5.05-5.07x3.16,GIA,2136154290,2591.1350,62.4,56.00,37607729
71306,Round,0.500,G,VS2,Very Good,Very Good,Very Good,Medium Blue,4.94-4.99x3.20,GIA,1139284794,1277.8200,64.4,56.00,37773676
71306,Round,0.500,E,I1,Very Good,Very Good,Very Good,None ,4.97-5.02x3.21,GIA,5126275121,791.8900,64.3,54.00,32374537
71306,Round,0.500,D,VS2,Excellent,Very Good,Excellent,Medium Blue,5.07-5.10x3.16,GIA,5126344761,1763.7550,62.1,57.00,32785162
71306,Round,0.500,F,SI1,Excellent,Excellent,Very Good,Strong Blue,5.07-5.10x3.18,GIA,2126318516,1135.8400,62.5,54.00,32460628
71306,Round,0.500,E,SI1,Excellent,Very Good,Very Good,Medium Blue,5.06-5.07x3.16,GIA,7122296073,1277.8200,62.4,58.00,33337222
71306,Round,0.500,D,SI1,Excellent,Excellent,Excellent,Strong Blue,5.05-5.08x3.15,GIA,2131877695,1419.8000,62.1,57.00,33520289
71306,Round,0.500,E,VS2,Excellent,Excellent,Excellent,Strong Blue,5.04-5.08x3.17,GIA,2126558301,1561.7800,62.6,55.00,33520290
71306,Round,0.500,E,SI1,Excellent,Very Good,Very Good,Medium Blue,5.12-5.14x3.08,GIA,1129629034,1277.8200,60.0,59.00,34058566
71306,Round,0.500,E,SI1,Excellent,Excellent,Very Good,Medium Blue,5.06-5.09x3.11,GIA,2126800473,1277.8200,61.2,61.00,35413308
71306,Round,0.500,E,SI1,Excellent,Excellent,Excellent,Strong Blue,5.05-5.07x3.17,GIA,2131410549,1259.8200,62.6,57.00,31712556
71306,Round,0.500,E,SI1,Excellent,Excellent,Excellent,Very Strong Blue,5.07-5.11x3.18,GIA,2126842470,1259.8200,62.5,56.00,35379300
71306,Round,0.500,E,SI2,Very Good,Excellent,Excellent,Faint ,4.99-5.00x3.17,GIA,2136001702,1014.8550,63.5,59.00,36584988
71306,Round,0.500,F,SI1,Very Good,Excellent,Excellent,None ,4.96-4.99x3.21,GIA,2136199533,1119.8400,64.5,54.00,37622804
71306,Round,0.500,F,SI1,Very Good,Excellent,Very Good,Faint ,4.96-5.01x3.21,GIA,1139285432,1119.8400,64.4,55.00,37773674
71306,Round,0.500,D,VS1,Excellent,Excellent,Excellent,Strong ,5.05-5.09x3.18,GIA,2116722275,1916.7300,62.7,56.00,29607139
71306,Round,0.500,D,VS2,Very Good,Excellent,Good,None ,5.08-5.13x3.12,GIA,2126604980,1690.2550,61.1,58.00,34146339
71306,Round,0.500,D,SI1,Very Good,Good,Excellent,None ,5.02-5.07x3.14,GIA,1129724158,1379.8000,62.2,59.00,34444142
71306,Round,0.500,G,VVS1,Excellent,Excellent,Excellent,Strong Blue,5.13-5.16x3.09,GIA,5126005439,1828.2350,60.1,58.00,34444211
71306,Round,0.500,D,VVS2,Excellent,Excellent,Very Good,None ,5.08-5.11x3.11,GIA,1146138476,2207.6800,61.1,60.00,35413283
71306,Round,0.500,E,SI1,Very Good,Excellent,Very Good,Faint ,5.01-5.03x3.21,GIA,1146267590,1241.8200,,,35828085
71306,Round,0.500,D,SI1,Very Good,Very Good,Very Good,Faint ,5.04-5.06x3.12,GIA,2136072305,1379.8000,61.8,56.00,37093398
71306,Round,0.500,G,SI1,Good,Excellent,Excellent,None ,4.87-4.89x3.20,GIA,1139187569,985.8550,65.5,56.00,37622805
71306,Round,0.500,F,SI2,Good,Very Good,Fair,None ,5.06-5.10x3.16,GIA,2126705371,917.8650,62.2,55.00,37757848
71306,Round,0.500,G,SI1,Good,Good,Excellent,None ,4.89-4.91x3.23,GIA,2136283746,985.8550,66.0,56.00,37757850
71306,Round,0.500,F,SI1,Very Good,Excellent,Excellent,Medium Blue,4.97-4.99x3.21,GIA,5136285146,1087.8400,64.5,54.00,37773675
71306,Round,0.500,D,SI1,Very Good,Very Good,Good,None ,5.13-5.16x3.06,GIA,5126001185,1379.8000,59.5,58.00,30948399
71306,Round,0.500,D,SI1,Very Good,Good,Good,None ,4.99-5.02x3.20,GIA,5126660772,1379.8000,63.9,54.00,34058562
71306,Round,0.500,E,SI1,Very Good,Very Good,Good,None ,5.03-5.06x3.09,GIA,5126633235,1223.8200,61.2,58.00,34622216
71306,Round,0.500,F,VVS2,Very Good,Very Good,Excellent,None ,5.00-5.02x3.15,GIA,1129763764,1801.7350,62.8,56.00,34622221
71306,Round,0.500,E,SI1,Very Good,Excellent,Excellent,None ,5.13-5.16x3.07,GIA,1146237840,1223.8200,59.6,60.00,35713344
71306,Round,0.500,D,VS2,Very Good,Very Good,Very Good,Faint ,5.01-5.03x3.20,GIA,5136000887,1665.7550,63.8,55.00,36584982
71306,Round,0.500,E,SI1,Very Good,Excellent,Excellent,None ,4.98-4.99x3.18,GIA,5126987859,1223.8200,63.8,56.00,36770314
71306,Round,0.500,I,SI1,Good,Very Good,Excellent,Medium Blue,4.86-4.87x3.24,GIA,2136060647,781.8850,66.6,55.00,37093423
71306,Round,0.500,D,VS1,Very Good,Excellent,Excellent,Medium Blue,4.95-4.98x3.19,GIA,2126810306,1808.7300,64.3,56.00,35053158
71306,Round,0.500,D,SI1,Very Good,Excellent,Excellent,Medium Blue,4.99-5.01x3.17,GIA,1139027260,1339.8000,63.4,57.00,36801132
71306,Round,0.500,E,VS1,Excellent,Excellent,Excellent,Strong ,5.04-5.09x3.17,GIA,2116559578,1733.7450,62.6,56.00,29368038
71306,Round,0.500,E,SI1,Very Good,Very Good,Good,Faint ,4.97-5.03x3.20,GIA,2116691860,1223.8200,64.0,56.00,29368080
71306,Round,0.500,D,VS2,Very Good,Very Good,Good,None ,5.01-5.05x3.14,GIA,2126149414,1665.7550,62.5,59.00,32205320
71306,Round,0.500,D,VVS2,Excellent,Excellent,Excellent,Medium ,5.06-5.09x3.19,GIA,5116289029,2175.6800,62.9,55.00,33337214
71306,Round,0.500,K,SI1,Good,Excellent,Good,Faint ,4.86-4.90x3.23,GIA,6147112492,659.9000,66.2,57.00,35413373
71306,Round,0.500,H,VS2,Fair,Very Good,Good,Faint ,4.85-4.88x3.17,GIA,2116900367,1055.8400,65.2,59.00,35743884
71306,Round,0.500,H,VS2,Fair,Excellent,Excellent,Faint ,4.80-4.84x3.33,GIA,2126989027,1055.8400,69.0,54.00,36511909
71306,Round,0.500,E,SI1,Very Good,Very Good,Excellent,Medium Blue,4.97-4.99x3.21,GIA,1139057602,1187.8200,64.4,53.00,37093402
71306,Round,0.500,F,VS2,Very Good,Excellent,Very Good,Medium Blue,5.02-5.06x3.17,GIA,2136072346,1352.7950,62.9,54.00,37093408
71306,Round,0.500,D,SI1,Very Good,Excellent,Very Good,Medium Blue,4.96-4.99x3.19,GIA,5126443400,1339.8000,64.1,54.00,32928948
71306,Round,0.500,E,VS2,Very Good,Very Good,Good,None ,4.95-5.01x3.17,GIA,1136575392,1451.7800,63.7,58.00,32618273
71306,Round,0.500,E,VS2,Very Good,Very Good,Good,None ,5.08-5.11x3.07,GIA,2131880043,1451.7800,60.3,58.00,33520291
71306,Round,0.500,E,VS2,Very Good,Excellent,Good,Faint ,5.10-5.19x3.16,GIA,2126502518,1451.7800,60.0,61.00,33923701
71306,Round,0.500,E,VS2,Very Good,Very Good,Excellent,Faint ,4.95-4.99x3.20,GIA,2126813408,1451.7800,64.3,55.00,35343030
71306,Round,0.500,E,VS2,Very Good,Excellent,Very Good,None ,4.94-4.98x3.19,GIA,1129764040,1451.7800,64.3,58.00,35413302
71306,Round,0.500,E,SI1,Very Good,Very Good,Good,Medium Blue,5.16-5.18x3.03,GIA,2126739635,1187.8200,58.6,61.00,35413311
71306,Round,0.500,E,SI2,Good,Excellent,Very Good,None ,4.85-4.88x3.23,GIA,1139283391,927.8550,66.3,55.00,37773672
71306,Round,0.500,D,VS1,Very Good,Excellent,Very Good,Medium ,4.95-5.00x3.20,GIA,1119514311,1754.7300,64.2,55.00,29367992
71306,Round,0.500,E,VS1,Excellent,Excellent,Very Good,Very Strong Blue,5.06-5.08x3.16,GIA,2126486212,1657.2450,62.2,55.00,33116698
71306,Round,0.500,D,VS1,Very Good,Excellent,Very Good,Medium Blue,5.11-5.14x3.12,GIA,2126705378,1754.7300,60.8,57.00,34622196
71306,Round,0.500,E,SI1,Very Good,Good,Very Good,Medium ,4.99-5.04x3.22,GIA,1119666065,1187.8200,64.2,54.00,29368088
71306,Round,0.500,E,SI1,Very Good,Good,Very Good,Medium Blue,5.22-5.24x3.00,GIA,5126110430,1187.8200,57.4,62.00,31491049
71306,Round,0.500,D,SI2,Good,Good,Very Good,Medium Blue,4.89-4.91x3.20,GIA,1146238213,991.8450,65.3,58.00,36511898
71306,Round,0.500,L,VS1,Good,Good,Very Good,Medium Blue,4.91-4.92x3.13,GIA,2136001763,671.8950,63.6,61.00,36584998
71306,Round,0.500,E,VS2,Very Good,Very Good,Excellent,Medium Blue,4.98-5.00x3.20,GIA,1139000890,1407.7800,64.2,55.00,36588150
71306,Round,0.500,I,SI2,Fair,Very Good,Excellent,None ,4.79-4.82x3.27,GIA,6147211318,671.8950,68.1,53.00,36770318
71306,Round,0.500,G,SI1,Fair,Very Good,Very Good,None ,4.82-4.84x3.24,GIA,2136171459,927.8550,67.2,54.00,37607732
71306,Round,0.500,F,SI1,Good,Excellent,Very Good,None ,4.89-4.91x3.23,GIA,2136272182,1023.8400,66.0,54.00,37757845
71306,Round,0.500,E,VS2,Very Good,Excellent,Excellent,Medium Blue,4.98-5.02x3.19,GIA,5126342405,1407.7800,63.8,54.00,32979782
71306,Round,0.500,F,VS1,Very Good,Very Good,Very Good,Medium Blue,5.01-5.05x3.17,GIA,1129629329,1567.7550,63.0,57.00,34622222
71306,Round,0.500,D,VVS1,Very Good,Very Good,Good,None ,4.98-5.02x3.19,GIA,1129764039,2335.6350,63.9,56.00,35413280
71306,Round,0.500,E,SI1,Very Good,Excellent,Excellent,Strong Blue,4.99-5.00x3.20,GIA,1146264450,1151.8200,64.0,56.00,35713343
71306,Round,0.500,I,SI2,Fair,Very Good,Very Good,None ,4.75-4.77x3.22,GIA,2141278389,671.8950,,,35828092
71306,Round,0.500,I,SI2,Fair,Excellent,Very Good,None ,4.71-4.76x3.28,GIA,2126912962,671.8950,69.3,54.00,35912631
71306,Round,0.500,I,VS2,Fair,Very Good,Excellent,None ,4.80-4.82x3.28,GIA,1146124494,913.3550,68.2,56.00,35413355
71306,Round,0.500,E,SI2,Good,Very Good,Good,None ,5.02-5.03x3.09,GIA,6147259550,913.3550,61.4,58.00,36304636
71306,Round,0.500,G,VS2,Fair,Very Good,Very Good,None ,4.79-4.85x3.28,GIA,1139002341,1133.8200,68.1,53.00,36584993
71306,Round,0.500,E,SI1,Very Good,Very Good,Very Good,Strong Blue,4.97-5.00x3.21,GIA,1146238373,1133.8200,64.5,55.00,37093403
71306,Round,0.500,F,SI2,Fair,Good,Good,None ,4.72-4.78x3.28,GIA,1139191868,850.3650,69.2,58.00,37607730
71306,Round,0.500,E,VS2,Very Good,Excellent,Good,Medium Blue,5.03-5.05x3.15,GIA,5116783588,1407.7800,62.4,57.00,29747694
71306,Round,0.500,D,SI2,Fair,Very Good,Very Good,Faint ,4.71-4.77x3.30,GIA,1146238189,960.8450,69.5,56.00,36511897
71306,Round,0.500,E,SI1,Good,Excellent,Very Good,None ,4.85-4.89x3.23,GIA,1129988827,1115.8200,66.4,56.00,37351896
71306,Round,0.500,D,SI1,Good,Very Good,Excellent,Faint ,4.83-4.87x3.23,GIA,5136199487,1239.8000,66.6,54.00,37669377
71306,Round,0.500,I,VS2,Fair,Very Good,Very Good,None ,4.82-4.84x3.26,GIA,2126434919,913.3550,67.5,53.00,32928963
71306,Round,0.500,G,VS2,Fair,Very Good,Good,None ,4.78-4.84x3.34,GIA,5126658281,1133.8200,69.5,54.00,34058573
71306,Round,0.500,G,VS2,Fair,Excellent,Very Good,None ,4.81-4.87x3.20,GIA,1129797256,1133.8200,66.1,61.00,35413335
71306,Round,0.500,K,VS2,Fair,Very Good,Very Good,Faint ,4.75-4.79x3.29,GIA,2131880089,650.8950,69.0,55.00,33520323
71306,Round,0.500,L,SI1,Fair,Good,Good,None ,4.75-4.82x3.20,GIA,2131878155,588.9050,66.8,55.00,33726861
71306,Round,0.500,K,SI1,Fair,Good,Very Good,None ,4.79-4.85x3.31,GIA,5126660714,619.9000,68.6,53.00,34058585
71306,Round,0.500,D,SI1,Good,Good,Excellent,None ,4.83-4.88x3.22,GIA,2126809599,1239.8000,66.3,57.00,35343029
71306,Round,0.500,E,SI1,Good,Very Good,Good,None ,4.88-4.90x3.23,GIA,2141265422,1115.8200,66.1,56.00,35713342
71306,Round,0.500,D,SI2,Fair,Very Good,Very Good,Faint ,4.73-4.77x3.24,GIA,5126912941,960.8450,68.2,57.00,35912611
71306,Round,0.500,D,VS2,Good,Very Good,Very Good,None ,5.03-5.07x3.09,GIA,1129796994,1494.2550,61.1,61.00,35413286
71306,Round,0.500,G,VS1,Fair,Excellent,Very Good,None ,4.82-4.86x3.25,GIA,1146124267,1311.2850,67.1,56.00,35413334
71306,Round,0.500,D,VS2,Good,Very Good,Very Good,Faint ,4.85-4.87x3.23,GIA,6147259873,1494.2550,66.5,56.00,36588148
71306,Round,0.500,D,SI1,Good,Very Good,Fair,None ,4.97-5.01x3.12,GIA,1136358742,1239.8000,62.6,62.00,32300328
71306,Round,0.500,K,VS2,Fair,Very Good,Very Good,Faint ,4.81-4.84x3.32,GIA,2126335111,650.8950,68.8,54.00,32563254
71306,Round,0.500,K,SI1,Fair,Good,Good,None ,4.81-4.85x3.30,GIA,2126551555,619.9000,68.2,53.00,33443531
71306,Round,0.500,E,VS1,Very Good,Excellent,Good,Strong Blue,4.95-4.98x3.13,GIA,5136059910,1529.7450,63.0,56.00,36801135
71306,Round,0.500,D,SI1,Good,Very Good,Good,Medium Blue,4.88-4.90x3.19,GIA,2136087520,1199.8000,65.1,59.00,37145516
71306,Round,0.500,F,SI1,Fair,Very Good,Good,None ,4.67-4.78x3.32,GIA,1139199430,959.8400,70.2,58.00,37622802
71306,Round,0.500,F,SI1,Fair,Excellent,Good,None ,4.75-4.82x3.22,GIA,2136193609,959.8400,67.3,59.00,37622803
71306,Round,0.500,F,SI1,Fair,Very Good,Very Good,None ,4.77-4.80x3.32,GIA,2136282835,959.8400,69.5,53.00,37757844
71306,Round,0.500,L,SI2,Fair,Excellent,Very Good,Faint ,4.77-4.85x3.30,GIA,5126538974,518.4150,68.5,53.00,33520326
71306,Round,0.500,F,SI1,Fair,Good,Very Good,Faint ,4.83-4.87x3.23,GIA,2131833298,959.8400,66.5,56.00,33313181
71306,Round,0.500,E,SI1,Good,Very Good,Very Good,Medium Blue,4.98-5.05x3.12,GIA,1129796143,1079.8200,62.2,59.00,35413304
71306,Round,0.500,D,SI1,Good,Very Good,Very Good,Medium Blue,4.87-4.88x3.24,GIA,2141284247,1199.8000,66.6,60.00,35969358
71306,Round,0.500,L,VS2,Fair,Very Good,Very Good,Medium Blue,4.84-4.87x3.25,GIA,5126989170,599.9000,67.0,52.00,36511919
71306,Round,0.500,F,SI1,Fair,Good,Excellent,None ,4.79-4.81x3.29,GIA,2136000853,959.8400,68.5,54.00,36584990
71306,Round,0.500,K,SI1,Fair,Good,Very Good,Medium Blue,4.74-4.78x3.31,GIA,2136001995,599.9000,69.5,55.00,36679175
71306,Round,0.500,E,SI1,Fair,Good,Very Good,Faint ,4.76-4.80x3.28,GIA,5136055236,1043.8200,68.6,54.00,37252284
71306,Round,0.500,E,SI1,Good,Very Good,Good,Strong Blue,4.83-4.85x3.20,GIA,2136087288,1043.8200,66.0,59.00,37351895
71306,Round,0.500,E,SI2,Fair,Excellent,Very Good,Faint ,4.81-4.84x3.29,GIA,6147278067,855.3550,,,35828086
71306,Round,0.500,E,SI2,Good,Very Good,Very Good,Strong Blue,4.89-4.90x3.23,GIA,2126922399,855.3550,66.1,53.00,35912613
71306,Round,0.500,D,SI1,Good,Good,Very Good,Medium ,4.79-4.85x3.20,GIA,2121654088,1199.8000,66.4,58.00,29368006
71306,Round,0.500,D,SI2,Fair,Good,Very Good,Medium Blue,4.81-4.83x3.33,GIA,2131190112,929.8450,69.1,54.00,30948400
71306,Round,0.500,F,VVS2,Fair,Excellent,Very Good,Faint ,4.82-4.87x3.25,GIA,6147150871,1536.7350,67.1,57.00,35413314
71306,Round,0.500,D,SI1,Fair,Very Good,Very Good,None ,4.74-4.78x3.31,GIA,1146237838,1159.8000,69.6,53.00,35713338
71306,Round,0.500,F,SI1,Fair,Very Good,Very Good,Medium Blue,4.75-4.78x3.31,GIA,2126953840,927.8400,69.4,53.00,36165920
71306,Round,0.500,E,SI1,Good,Good,Very Good,Strong Blue,4.93-4.95x3.21,GIA,6147265639,1043.8200,65.0,57.00,36304634
71306,Round,0.500,D,SI1,Fair,Very Good,Very Good,None ,4.81-4.83x3.21,GIA,2126989190,1159.8000,66.5,59.00,36584983
71306,Round,0.500,D,SI1,Fair,Good,Very Good,None ,4.80-4.82x3.31,GIA,1129989119,1159.8000,68.7,53.00,36588149
71306,Round,0.500,D,VVS2,Good,Excellent,Excellent,None ,4.89-4.93x3.25,GIA,5126167174,1823.6800,66.2,57.00,34444130
71306,Round,0.500,D,VVS2,Good,Very Good,Very Good,None ,5.07-5.09x3.04,GIA,2126109410,1823.6800,59.8,64.00,34444131
71306,Round,0.500,D,VS2,Fair,Very Good,Very Good,None ,4.71-4.76x3.32,GIA,1139001639,1396.2550,70.1,55.00,36584981
71306,Round,0.500,E,SI2,Fair,Very Good,Very Good,Medium Blue,4.79-4.81x3.27,GIA,2136001681,826.3550,68.0,54.00,36584987
71306,Round,0.500,D,VS1,Good,Excellent,Good,Medium Blue,5.07-5.12x3.10,GIA,1129724411,1565.7300,60.9,61.00,34622194
71306,Round,0.500,E,SI1,Fair,Very Good,Good,None ,4.81-4.82x3.32,GIA,5126845403,1043.8200,69.0,53.00,35379299
71269,Round,0.500,E,VS2,Fair,Very Good,Very Good,Faint ,4.84-4.87x3.21,GIA,2126286035,1210.0000,66.2,59.00,32624385
71269,Round,0.500,E,SI1,Fair,Excellent,Very Good,Medium ,4.80-4.83x3.25,GIA,1136576821,990.0000,67.4,60.00,32624387
71269,Round,0.500,D,VS1,Very Good,Very Good,Very Good,None ,5.02-5.05x3.13,GIA,2136153129,1701.0000,62.1,59.00,37814692
71269,Round,0.500,E,SI1,Very Good,Excellent,Excellent,None ,4.95-4.99x3.19,GIA,2136206665,1170.0000,64.2,56.00,37814694
71269,Round,0.500,E,SI1,Very Good,Excellent,Good,None ,5.01-5.03x3.17,GIA,5136221033,1170.0000,63.2,56.00,37814695
71269,Round,0.500,E,SI1,Very Good,Excellent,Good,None ,5.02-5.08x3.15,GIA,1139192669,1170.0000,62.3,57.00,37814696
71269,Emerald,0.500,K,VS1,,Very Good,Very Good,None ,5.46x3.85x2.34,IGI,S3A27136,412.5000,60.8,66.00,31974046
71269,Round,0.500,E,SI1,Very Good,Very Good,Excellent,Very Slight ,5.04-5.08x3.12,IGI,S3C24628,1116.0000,61.7,57.50,37006397
71269,Round,0.500,I,SI2,Very Good,Good,Good,None ,5.12-5.15x3.11,IGI,S3B93922,672.0000,60.6,60.50,35524059
71269,Round,0.500,G,SI1,Very Good,Very Good,Very Good,None ,4.97-5.01x3.20,IGI,S3C20418,942.5000,64.1,57.00,37327219
