RapNet Seller #,Shape,Weight,Color,Clarity,Cut Grade,Polish,Symmetry,Fluorescence,Measurements,Lab,Cert #,RapNet Total Price,Depth %,Table %,RapNet Lot #
32235,Round,2.000,H,VVS1,Very Good,Excellent,Very Good,None ,7.80-7.95x5.04,GIA,1129093820,30810.0000,63.9,57.00,37720806
32235,Round,2.000,G,VS1,Excellent,Excellent,Very Good,None ,7.98-8.05x4.99,GIA,1119996192,28440.0000,62.2,57.00,37720808
32235,Round,2.000,G,VVS2,Very Good,Excellent,Excellent,None ,7.94-7.97x5.05,GIA,1119725540,33180.0000,63.5,55.00,37721975
32235,Round,2.000,G,SI2,Excellent,Excellent,Excellent,None ,8.03-8.07x5.01,GIA,2116775876,17280.0000,62.2,56.00,37720584
32235,Round,2.000,J,VS2,Very Good,Excellent,Excellent,None ,7.89-7.92x5.06,GIA,1119745879,13870.0000,64.0,56.00,37720513
32235,Round,2.000,G,SI1,Very Good,Excellent,Very Good,None ,7.89-7.93x5.06,GIA,2116967073,18980.0000,63.9,56.00,37720671
32235,Round,2.000,G,SI1,Very Good,Excellent,Very Good,None ,7.87-7.94x5.02,GIA,5126155369,18980.0000,63.5,58.00,37721070
32235,Round,2.000,G,VS1,Very Good,Excellent,Very Good,None ,7.91-7.96x5.07,GIA,5126364006,26640.0000,63.9,55.00,37720586
32235,Round,2.000,G,VS1,Very Good,Excellent,Excellent,None ,7.88-7.95x5.04,GIA,1129472989,26640.0000,63.8,57.00,37720593
32235,Round,2.000,G,VVS2,Very Good,Excellent,Very Good,None ,7.89-7.92x5.05,GIA,1129482959,31500.0000,63.9,55.00,36467001
32235,Round,2.000,G,VS1,Very Good,Excellent,Very Good,None ,7.94-7.97x5.01,GIA,1129472995,27000.0000,62.9,58.00,37720594
32235,Round,2.000,G,VS2,Very Good,Excellent,Very Good,None ,7.87-7.96x5.03,GIA,2126090366,24150.0000,63.6,57.00,37720828
