RapNet Seller #,Shape,Weight,Color,Clarity,Cut Grade,Polish,Symmetry,Fluorescence,Measurements,Lab,Cert #,RapNet Total Price,Depth %,Table %,RapNet Lot #
40218,Round,1.300,G,VVS1,Excellent,Excellent,Excellent,Strong ,6.95-6.97x4.36,GIA,1146015576,8972.6000,62.7,57.00,36049084
69905,Round,1.300,K,VVS1,Excellent,Excellent,Excellent,Strong ,6.92-6.94x4.31,IGI,S3D30265,5077.8000,62.2,57.50,38258121
33435,Round,1.300,J,VS2,Excellent,Excellent,Excellent,None ,7.03-7.06x4.25,IGI,S3D92571,5070.0000,60.3,59.00,39382313
33435,Round,1.300,I,VS1,Excellent,Excellent,Excellent,None ,7.05-7.08x4.24,GIA,2136870157,7568.6000,60.1,60.00,40279493
33435,Round,1.300,H,SI1,Excellent,Excellent,Excellent,Faint ,6.96-6.99x4.35,GIA,5146129076,7142.2000,62.4,57.00,40761224
1178,Round,1.300,D,IF,Excellent,Excellent,Excellent,None ,6.98-7.00x4.29,GIA,5136070356,29166.8000,61.3,59.00,37978347
68800,Round,1.300,G,VVS2,Excellent,Excellent,Excellent,Strong ,6.96-7.00x4.38,GIA,5136952753,9668.1000,62.8,56.00,40418835
70736,Round,1.300,I,VS2,Excellent,Excellent,Excellent,None ,6.97-6.99x4.32,GIA,GIA 2136873083,6337.5000,61.9,60.00,40070505
70736,Round,1.300,K,VS2,Excellent,Excellent,Excellent,None ,7.02-7.06x4.30,GIA,5136747616,4646.7850,61.1,58.00,39714012
70736,Round,1.300,K,VS2,Excellent,Excellent,Excellent,None ,7.02-7.06x4.30,GIA,GIA 5136747616,4647.5000,61.1,58.00,39714013
70736,Round,1.300,M,SI2,Good,Very Good,Very Good,Medium ,6.78-6.81x4.49,GIA,GIA 2126364330,1989.0000,66.0,55.00,38664729
70736,Round,1.300,M,SI2,Good,Very Good,Very Good,Medium ,6.78-6.81x4.49,GIA,2126364330,1988.6100,66.0,55.00,32630147
70736,Round,1.300,L,VVS2,Very Good,Excellent,Very Good,Strong ,6.80-6.88x4.40,GIA,GIA 2116994010,3640.0000,64.3,57.00,38664727
70736,Round,1.300,M,SI2,Very Good,Very Good,Very Good,Medium ,6.91-6.96x4.34,GIA,GIA 5126547724,2184.0000,62.6,55.00,38664730
70736,Round,1.300,M,SI2,Very Good,Very Good,Very Good,Medium ,6.91-6.96x4.34,GIA,5126547724,2183.6100,62.6,55.00,33453307
70736,Round,1.300,L,VVS2,Very Good,Excellent,Very Good,Strong ,6.80-6.88x4.40,GIA,2116994010,3639.3500,64.3,57.00,37785586
70736,Round,1.300,I,VS2,Excellent,Excellent,Excellent,None ,6.97-6.99x4.32,GIA,2136873083,6336.6550,61.9,60.00,40070504
70736,Round,1.300,I,SI2,Very Good,Good,Good,Strong ,7.13-7.18x4.15,IGI,IGI S3C63395,3861.0000,58.1,62.00,38664724
70736,Round,1.300,I,SI2,Very Good,Good,Good,Strong ,7.13-7.18x4.15,IGI,S3C63395,3860.2850,58.1,62.00,37201149
71451,Round,1.300,I,VVS2,Excellent,Excellent,Excellent,None ,6.98-7.00x4.33,IGI,S2H46980,8408.4000,,58.00,32862571