VVS1,I,0.04,0.07,700
VVS2,I,0.04,0.07,700
VS1,I,0.04,0.07,620
VS2,I,0.04,0.07,620
SI1,I,0.04,0.07,520
SI2,I,0.04,0.07,470
SI3,I,0.04,0.07,420
I1,I,0.04,0.07,380
I2,I,0.04,0.07,340
I3,I,0.04,0.07,230
IF,J,0.04,0.07,700
VVS1,J,0.04,0.07,700
VVS2,J,0.04,0.07,700
VS1,J,0.04,0.07,620
VS2,J,0.04,0.07,620
SI1,J,0.04,0.07,520
SI2,J,0.04,0.07,470
SI3,J,0.04,0.07,420
I1,J,0.04,0.07,380
I2,J,0.04,0.07,340
I3,J,0.04,0.07,230
IF,K,0.04,0.07,530
VVS1,K,0.04,0.07,530
VVS2,K,0.04,0.07,530
VS1,K,0.04,0.07,460
VS2,K,0.04,0.07,460
SI1,K,0.04,0.07,400
SI2,K,0.04,0.07,360
SI3,K,0.04,0.07,310
I1,K,0.04,0.07,260
I2,K,0.04,0.07,230
I3,K,0.04,0.07,160
IF,L,0.04,0.07,530
VVS1,L,0.04,0.07,530
VVS2,L,0.04,0.07,530
VS1,L,0.04,0.07,460
VS2,L,0.04,0.07,460
SI1,L,0.04,0.07,400
SI2,L,0.04,0.07,360
SI3,L,0.04,0.07,310
I1,L,0.04,0.07,260
I2,L,0.04,0.07,230
I3,L,0.04,0.07,160
IF,M,0.04,0.07,390
VVS1,M,0.04,0.07,390
VVS2,M,0.04,0.07,390
VS1,M,0.04,0.07,340
VS2,M,0.04,0.07,340
SI1,M,0.04,0.07,260
SI2,M,0.04,0.07,240
SI3,M,0.04,0.07,200
I1,M,0.04,0.07,180
I2,M,0.04,0.07,140
I3,M,0.04,0.07,100
IF,N,0.04,0.07,390
VVS1,N,0.04,0.07,390
VVS2,N,0.04,0.07,390
VS1,N,0.04,0.07,340
VS2,N,0.04,0.07,340
SI1,N,0.04,0.07,260
SI2,N,0.04,0.07,240
SI3,N,0.04,0.07,200
I1,N,0.04,0.07,180
I2,N,0.04,0.07,140
I3,N,0.04,0.07,100
IF,D,0.08,0.14,1130
VVS1,D,0.08,0.14,1130
VVS2,D,0.08,0.14,1130
VS1,D,0.08,0.14,980
VS2,D,0.08,0.14,980
SI1,D,0.08,0.14,820
SI2,D,0.08,0.14,730
SI3,D,0.08,0.14,660
I1,D,0.08,0.14,550
I2,D,0.08,0.14,460
I3,D,0.08,0.14,350
IF,E,0.08,0.14,1130
VVS1,E,0.08,0.14,1130
VVS2,E,0.08,0.14,1130
VS1,E,0.08,0.14,980
VS2,E,0.08,0.14,980
SI1,E,0.08,0.14,820
SI2,E,0.08,0.14,730
SI3,E,0.08,0.14,660
I1,E,0.08,0.14,550
I2,E,0.08,0.14,460
I3,E,0.08,0.14,350
IF,F,0.08,0.14,1130
VVS1,F,0.08,0.14,1130
VVS2,F,0.08,0.14,1130
VS1,F,0.08,0.14,980
VS2,F,0.08,0.14,980
SI1,F,0.08,0.14,820
SI2,F,0.08,0.14,730
SI3,F,0.08,0.14,660
I1,F,0.08,0.14,550
I2,F,0.08,0.14,460
I3,F,0.08,0.14,350
IF,G,0.08,0.14,1020
VVS1,G,0.08,0.14,1020
VVS2,G,0.08,0.14,1020
VS1,G,0.08,0.14,840
VS2,G,0.08,0.14,840
SI1,G,0.08,0.14,730
SI2,G,0.08,0.14,660
SI3,G,0.08,0.14,600
I1,G,0.08,0.14,490
I2,G,0.08,0.14,400
I3,G,0.08,0.14,310
IF,H,0.08,0.14,1020
VVS1,H,0.08,0.14,1020
VVS2,H,0.08,0.14,1020
VS1,H,0.08,0.14,840
VS2,H,0.08,0.14,840
SI1,H,0.08,0.14,730
SI2,H,0.08,0.14,660
SI3,H,0.08,0.14,600
I1,H,0.08,0.14,490
I2,H,0.08,0.14,400
I3,H,0.08,0.14,310
IF,I,0.08,0.14,900
VVS1,I,0.08,0.14,900
VVS2,I,0.08,0.14,900
VS1,I,0.08,0.14,720
VS2,I,0.08,0.14,720
SI1,I,0.08,0.14,650
SI2,I,0.08,0.14,590
SI3,I,0.08,0.14,520
I1,I,0.08,0.14,430
I2,I,0.08,0.14,360
I3,I,0.08,0.14,270
IF,J,0.08,0.14,900
VVS1,J,0.08,0.14,900
VVS2,J,0.08,0.14,900
VS1,J,0.08,0.14,720
VS2,J,0.08,0.14,720
SI1,J,0.08,0.14,650
SI2,J,0.08,0.14,590
SI3,J,0.08,0.14,520
I1,J,0.08,0.14,430
I2,J,0.08,0.14,360
I3,J,0.08,0.14,270
IF,K,0.08,0.14,680
VVS1,K,0.08,0.14,680
VVS2,K,0.08,0.14,680
VS1,K,0.08,0.14,580
VS2,K,0.08,0.14,580
SI1,K,0.08,0.14,490
SI2,K,0.08,0.14,430
SI3,K,0.08,0.14,360
I1,K,0.08,0.14,300
I2,K,0.08,0.14,240
I3,K,0.08,0.14,180
IF,L,0.08,0.14,680
VVS1,L,0.08,0.14,680
VVS2,L,0.08,0.14,680
VS1,L,0.08,0.14,580
VS2,L,0.08,0.14,580
SI1,L,0.08,0.14,490
SI2,L,0.08,0.14,430
SI3,L,0.08,0.14,360
I1,L,0.08,0.14,300
I2,L,0.08,0.14,240
I3,L,0.08,0.14,180
IF,M,0.08,0.14,480
VVS1,M,0.08,0.14,480
VVS2,M,0.08,0.14,480
VS1,M,0.08,0.14,400
VS2,M,0.08,0.14,400
SI1,M,0.08,0.14,350
SI2,M,0.08,0.14,310
SI3,M,0.08,0.14,280
I1,M,0.08,0.14,230
I2,M,0.08,0.14,170
I3,M,0.08,0.14,130
IF,N,0.08,0.14,480
VVS1,N,0.08,0.14,480
VVS2,N,0.08,0.14,480
VS1,N,0.08,0.14,400
VS2,N,0.08,0.14,400
SI1,N,0.08,0.14,350
SI2,N,0.08,0.14,310
SI3,N,0.08,0.14,280
I1,N,0.08,0.14,230
I2,N,0.08,0.14,170
I3,N,0.08,0.14,130
IF,D,0.15,0.17,1530
VVS1,D,0.15,0.17,1530
VVS2,D,0.15,0.17,1530
VS1,D,0.15,0.17,1320
VS2,D,0.15,0.17,1320
SI1,D,0.15,0.17,1020
SI2,D,0.15,0.17,870
SI3,D,0.15,0.17,720
I1,D,0.15,0.17,590
I2,D,0.15,0.17,480
I3,D,0.15,0.17,370
IF,E,0.15,0.17,1530
VVS1,E,0.15,0.17,1530
VVS2,E,0.15,0.17,1530
VS1,E,0.15,0.17,1320
VS2,E,0.15,0.17,1320
SI1,E,0.15,0.17,1020
SI2,E,0.15,0.17,870
SI3,E,0.15,0.17,720
I1,E,0.15,0.17,590
I2,E,0.15,0.17,480
I3,E,0.15,0.17,370
IF,F,0.15,0.17,1530
VVS1,F,0.15,0.17,1530
VVS2,F,0.15,0.17,1530
VS1,F,0.15,0.17,1320
VS2,F,0.15,0.17,1320
SI1,F,0.15,0.17,1020
SI2,F,0.15,0.17,870
SI3,F,0.15,0.17,720
I1,F,0.15,0.17,590
I2,F,0.15,0.17,480
I3,F,0.15,0.17,370
IF,G,0.15,0.17,1370
VVS1,G,0.15,0.17,1370
VVS2,G,0.15,0.17,1370
VS1,G,0.15,0.17,1140
VS2,G,0.15,0.17,1140
SI1,G,0.15,0.17,920
SI2,G,0.15,0.17,740
SI3,G,0.15,0.17,640
I1,G,0.15,0.17,520
I2,G,0.15,0.17,430
I3,G,0.15,0.17,330
IF,H,0.15,0.17,1370
VVS1,H,0.15,0.17,1370
VVS2,H,0.15,0.17,1370
VS1,H,0.15,0.17,1140
VS2,H,0.15,0.17,1140
SI1,H,0.15,0.17,920
SI2,H,0.15,0.17,740
SI3,H,0.15,0.17,640
I1,H,0.15,0.17,520
I2,H,0.15,0.17,430
I3,H,0.15,0.17,330
IF,I,0.15,0.17,1120
VVS1,I,0.15,0.17,1120
VVS2,I,0.15,0.17,1120
